City,State,Population
Troy city, Michigan,"87,306"
Franklin city, Tennessee,"83,548"
Danbury city, Connecticut,"86,863"
Ogden city, Utah,"87,342"
Mission city, Texas,"85,789"
Waukegan city, Illinois,"89,309"
Bloomington city, Minnesota,"89,978"
Folsom city, California,"80,463"
Duluth city, Minnesota,"86,718"
Melbourne city, Florida,"84,727"
Leander city, Texas,"59,212"
Mountain View city, California,"82,537"
Santa Barbara city, California,"88,806"
Lake Forest city, California,"85,864"
Citrus Heights city, California,"87,578"
Sioux City city, Iowa,"85,894"
Kennewick city, Washington,"83,940"
San Leandro city, California,"90,997"
Medford city, Oregon,"86,028"
Warner Robins city, Georgia,"80,357"
South Jordan city, Utah,"77,485"
Daytona Beach city, Florida,"71,599"
Baytown city, Texas,"85,600"
San Ramon city, California,"86,336"
Homestead city, Florida,"80,737"
Whittier city, California,"87,865"
Gastonia city, North Carolina,"80,434"
Auburn city, Washington,"87,183"
New Rochelle city, New York,"79,751"
Livermore city, California,"87,966"
Kissimmee city, Florida,"79,191"
Cranston city, Rhode Island,"82,885"
Layton city, Utah,"81,783"
Farmington Hills city, Michigan,"84,002"
Rancho Cordova city, California,"79,332"
Queen Creek town, Arizona,"59,489"
Auburn city, Alabama,"76,585"
Longview city, Texas,"81,765"
Hawthorne city, California,"88,080"
Doral city, Florida,"75,871"
Warwick city, Rhode Island,"82,831"
Miami Beach city, Florida,"82,897"
Castle Rock town, Colorado,"73,158"
Boynton Beach city, Florida,"80,201"
Perris city, California,"78,703"
Redwood City city, California,"84,304"
Newport Beach city, California,"85,229"
Brooklyn Park city, Minnesota,"86,460"
Westland city, Michigan,"85,408"
Buena Park city, California,"84,024"
Jonesboro city, Arkansas,"78,555"
Largo city, Florida,"82,681"
Redmond city, Washington,"73,269"
Somerville city, Massachusetts,"81,048"
Cicero town, Illinois,"85,289"
Pasco city, Washington,"77,345"
Johns Creek city, Georgia,"82,444"
Lake Charles city, Louisiana,"84,938"
Pharr city, Texas,"79,731"
Loveland city, Colorado,"76,367"
Mansfield city, Texas,"72,636"
Woodbury city, Minnesota,"75,105"
Lynchburg city, Virginia,"79,017"
Alhambra city, California,"82,863"
Flower Mound town, Texas,"75,975"
Bloomington city, Indiana,"80,212"
Rapid City city, South Dakota,"74,730"
Milpitas city, California,"80,269"
Flint city, Michigan,"81,266"
Upland city, California,"79,040"
Bethlehem city, Pennsylvania,"75,795"
Parma city, Ohio,"81,121"
Bloomington city, Illinois,"78,701"
Bowling Green city, Kentucky,"72,313"
Tustin city, California,"79,948"
Alameda city, California,"78,285"
Missouri City city, Texas,"74,254"
Wyoming city, Michigan,"76,518"
Plymouth city, Minnesota,"81,020"
Lakewood city, California,"82,496"
Cedar Park city, Texas,"77,603"
Rochester Hills city, Michigan,"76,311"
Broomfield city, Colorado,"74,106"
Mableton city, Georgia,"77,080"
Missoula city, Montana,"74,137"
Racine city, Wisconsin,"78,337"
Lakeville city, Minnesota,"69,495"
Bismarck city, North Dakota,"73,623"
Flagstaff city, Arizona,"76,845"
Chino Hills city, California,"78,429"
Pittsburg city, California,"76,407"
Schaumburg village, Illinois,"78,723"
Pawtucket city, Rhode Island,"75,611"
Napa city, California,"79,305"
Southfield city, Michigan,"76,608"
Ankeny city, Iowa,"68,095"
Iowa City city, Iowa,"74,825"
Maricopa city, Arizona,"58,142"
Lauderhill city, Florida,"74,493"
Marysville city, Washington,"70,715"
